"activityID" "activityLabels" "subjectID" "tBodyAccelerometer.mean.X" "tBodyAccelerometer.mean.Y" "tBodyAccelerometer.mean.Z" "tBodyAccelerometer.std.X" "tBodyAccelerometer.std.Y" "tBodyAccelerometer.std.Z" "tGravityAccelerometer.mean.X" "tGravityAccelerometer.mean.Y" "tGravityAccelerometer.mean.Z" "tGravityAccelerometer.std.X" "tGravityAccelerometer.std.Y" "tGravityAccelerometer.std.Z" "tBodyAccelerometerJerk.mean.X" "tBodyAccelerometerJerk.mean.Y" "tBodyAccelerometerJerk.mean.Z" "tBodyAccelerometerJerk.std.X" "tBodyAccelerometerJerk.std.Y" "tBodyAccelerometerJerk.std.Z" "tBodyGyroscope.mean.X" "tBodyGyroscope.mean.Y" "tBodyGyroscope.mean.Z" "tBodyGyroscope.std.X" "tBodyGyroscope.std.Y" "tBodyGyroscope.std.Z" "tBodyGyroscopeJerk.mean.X" "tBodyGyroscopeJerk.mean.Y" "tBodyGyroscopeJerk.mean.Z" "tBodyGyroscopeJerk.std.X" "tBodyGyroscopeJerk.std.Y" "tBodyGyroscopeJerk.std.Z" "tBodyAccelerometerMag.mean" "tBodyAccelerometerMag.std" "tGravityAccelerometerMag.mean" "tGravityAccelerometerMag.std" "tBodyAccelerometerJerkMag.mean" "tBodyAccelerometerJerkMag.std" "tBodyGyroscopeMag.mean" "tBodyGyroscopeMag.std" "tBodyGyroscopeJerkMag.mean" "tBodyGyroscopeJerkMag.std" "fBodyAccelerometer.mean.X" "fBodyAccelerometer.mean.Y" "fBodyAccelerometer.mean.Z" "fBodyAccelerometer.std.X" "fBodyAccelerometer.std.Y" "fBodyAccelerometer.std.Z" "fBodyAccelerometer.meanFreq.X" "fBodyAccelerometer.meanFreq.Y" "fBodyAccelerometer.meanFreq.Z" "fBodyAccelerometerJerk.mean.X" "fBodyAccelerometerJerk.mean.Y" "fBodyAccelerometerJerk.mean.Z" "fBodyAccelerometerJerk.std.X" "fBodyAccelerometerJerk.std.Y" "fBodyAccelerometerJerk.std.Z" "fBodyAccelerometerJerk.meanFreq.X" "fBodyAccelerometerJerk.meanFreq.Y" "fBodyAccelerometerJerk.meanFreq.Z" "fBodyGyroscope.mean.X" "fBodyGyroscope.mean.Y" "fBodyGyroscope.mean.Z" "fBodyGyroscope.std.X" "fBodyGyroscope.std.Y" "fBodyGyroscope.std.Z" "fBodyGyroscope.meanFreq.X" "fBodyGyroscope.meanFreq.Y" "fBodyGyroscope.meanFreq.Z" "fBodyAccelerometerMag.mean" "fBodyAccelerometerMag.std" "fBodyAccelerometerMag.meanFreq" "fBodyBodyAccelerometerJerkMag.mean" "fBodyBodyAccelerometerJerkMag.std" "fBodyBodyAccelerometerJerkMag.meanFreq" "fBodyBodyGyroscopeMag.mean" "fBodyBodyGyroscopeMag.std" "fBodyBodyGyroscopeMag.meanFreq" "fBodyBodyGyroscopeJerkMag.mean" "fBodyBodyGyroscopeJerkMag.std" "fBodyBodyGyroscopeJerkMag.meanFreq"
"1" 1 "WALKING" 2 0.276938362033898 -0.0173994911857627 -0.106070407135593 -0.433152354915254 -0.0926085400915254 -0.434584076101695 0.912689399830508 -0.34102748147617 0.0883697801694915 -0.97364206559322 -0.973938113220339 -0.973246463389831 0.0675898458313559 0.0154356567711864 0.0047789127440678 -0.287896596688136 -0.0319084432847458 -0.592878966779661 -0.0468574987516949 -0.0550497025423729 0.0846233011016949 -0.569037532881356 -0.545653958135593 -0.489113898644068 -0.0818241197966102 -0.0523633391610169 -0.054579521140678 -0.400743466271186 -0.63989316559322 -0.44457123440678 -0.301842795423729 -0.432672430677966 -0.301842795423729 -0.432672430677966 -0.291933377101695 -0.177491591398305 -0.457662611525424 -0.561807784915254 -0.555243461864407 -0.565771167457627 -0.357545836610169 -0.037575431179661 -0.462812643389831 -0.466270722711864 -0.182137166881356 -0.463987716779661 -0.126117898177966 0.205412885610169 0.0776642509033898 -0.31509241779661 -0.0927135624745763 -0.56222692779661 -0.323605216966102 -0.0311438090084746 -0.622225634237288 -0.0585574359055932 -0.245819650728814 -0.248078337315254 -0.440173948813559 -0.56204405440678 -0.406915033559322 -0.610577988474576 -0.540179433728814 -0.566277008983051 0.0176886615627119 -0.0295084090169492 0.150686959845763 -0.335572482169492 -0.584947084745763 0.401505264745763 -0.182541042305085 -0.177160284872881 0.213901536449153 -0.539566097118644 -0.658999310847458 0.308198379152542 -0.590462121864407 -0.566443856610169 0.122840023014068
"497" 2 "WALKING_UPSTAIRS" 2 0.280027162916667 -0.016160968621875 -0.112649654645833 -0.544807254408333 -0.508500509438333 -0.624645678041667 0.475289551458333 0.0390096328166667 0.225753266245833 -0.961310979583333 -0.950317691458333 -0.9400070875 0.0944240006875 0.0218850522342292 0.0134746463666667 -0.5764048415625 -0.586356981654167 -0.784569249791667 -0.08539328876875 -0.0297704341670833 0.0965010864166667 -0.676313248333333 -0.731079679166667 -0.676714473770833 -0.0658016915 -0.0423667926375 -0.0575099586 -0.71417450375 -0.8384360325 -0.739950822916667 -0.507997317064583 -0.5683692429375 -0.507997317064583 -0.5683692429375 -0.613646754479167 -0.600012632875 -0.596535285708333 -0.679776608333333 -0.780017520208333 -0.804671071666667 -0.572262513895833 -0.523636006708333 -0.681803462138125 -0.535472973770833 -0.533806836233542 -0.624226577402083 -0.3152240454 -0.0483955504458333 -0.00322075551645833 -0.6080965675 -0.606271652666667 -0.764669160833333 -0.5822042494375 -0.592802842229167 -0.803351159375 -0.173778605208333 -0.286100921666667 -0.219525001020833 -0.619898494833333 -0.75626843375 -0.6608696974375 -0.695854691041667 -0.720350432395833 -0.7160148561875 -0.181075115714583 -0.29596566534875 -0.013212085375 -0.555122081416667 -0.6448494135625 0.0263601945833333 -0.593646789666667 -0.611061351708333 0.0968083475166667 -0.713362017708333 -0.713642284791667 -0.08251647090625 -0.800159216458333 -0.824943985416667 0.104822592604167
"968" 3 "WALKING_DOWNSTAIRS" 2 0.263034043829787 -0.0195281431958826 -0.111475486531915 -0.572250247744681 -0.540158870446809 -0.638602099893617 0.354405059191489 -0.209562233457447 0.10528765295483 -0.932437974255319 -0.949691599148936 -0.932883618085106 0.0451704322191489 0.0317543158553191 -0.0233086247951064 -0.582342823489362 -0.585003700425532 -0.758559306382979 -0.053419163806383 -0.0973851826170213 0.135566416761702 -0.730579565744681 -0.666153977176596 -0.604930408957447 -0.12617407887234 -0.0266533440265957 -0.0784907266148936 -0.717336378297872 -0.793151644893617 -0.714368842553191 -0.543009190038298 -0.580307743997872 -0.543009190038298 -0.580307743997872 -0.617443987765957 -0.577425564340426 -0.581919838676596 -0.65750177306383 -0.759394284680851 -0.782458474893617 -0.558481200374468 -0.534415801440426 -0.664424362978723 -0.578327961617021 -0.574275156448085 -0.655125433787234 -0.251443940485106 0.0992966912765958 0.195679944168085 -0.594153412404043 -0.59816370705766 -0.73156227212766 -0.608190417382979 -0.600048150274468 -0.784830823829787 -0.0879807134723404 -0.183739750853191 -0.0297570261638298 -0.668051808297872 -0.698798739361702 -0.582570746693617 -0.751416726808511 -0.653478317914894 -0.649302132765957 -0.0177389388587234 -0.0860640635106383 -0.0530183724680851 -0.555149789765957 -0.66185068693617 0.170531524787234 -0.563950326255319 -0.598550179404255 0.090889816806383 -0.689843238297872 -0.695293857021277 0.0432400584702128 -0.778698739574468 -0.804165400212766 0.113266326917021
"1388" 4 "SITTING" 2 0.27160317 -0.0157932386847826 -0.103645907284783 -0.563590497956522 -0.413213580506522 -0.681651340282609 0.80369137 -0.0748623650869565 0.00214816653782609 -0.979762778695652 -0.964367953478261 -0.947336349565217 0.0783099649978261 0.00152657639565217 0.0167048540910435 -0.57710068726087 -0.519168338621957 -0.804369863695652 -0.0149824651630435 -0.0698801709565217 0.0689197515956522 -0.679841500152174 -0.674078734586957 -0.667279091956522 -0.0650911702195652 -0.0599398318086957 -0.0451129392782609 -0.692997898065217 -0.79900231976087 -0.716302710652174 -0.508326496086957 -0.566566545478261 -0.508326496086957 -0.566566545478261 -0.605997521156522 -0.564625367886956 -0.577069558717391 -0.630213025065217 -0.75161865 -0.774377876891304 -0.568633004804348 -0.445443339021739 -0.725250370478261 -0.564035230543478 -0.434908310563043 -0.686049042391304 -0.176209880943478 0.00735083006521739 0.0319215833043478 -0.592740502315217 -0.549597256386957 -0.784791411521739 -0.599544587847826 -0.518985874343478 -0.823066260652174 -0.0274901041086957 -0.252596554136957 -0.12111741104 -0.621381937823913 -0.714706058130435 -0.630640400804348 -0.700892989 -0.656503381108696 -0.711589123913044 -0.0827111126347826 -0.159902631543478 -0.00268502151521739 -0.553054213413044 -0.644063059782609 0.11048708948913 -0.552404316021739 -0.583614777826087 0.199057482265217 -0.675524656521739 -0.666759932326087 -0.0391270235673913 -0.773882517695652 -0.791222413043478 0.0677556794745652
"1879" 5 "STANDING" 2 0.259622286851852 -0.0225643439875926 -0.112531633888889 -0.498379422685185 -0.325628455185185 -0.508237785425926 0.694704469259259 -0.073535037537037 0.0524666719444444 -0.969459338703704 -0.959934386111111 -0.935836247592593 0.0908749955185185 0.0136072097018519 0.0035452371037037 -0.56210013037037 -0.506644137611111 -0.719457979814815 -0.0356499335740741 -0.0724526668518519 0.0840209432759259 -0.626328262111111 -0.583241561092593 -0.54672501632963 -0.0821228844677778 -0.0570480590814815 -0.054157336 -0.698275421685185 -0.724840953777778 -0.684272836018519 -0.422723737666667 -0.478894276685185 -0.422723737666667 -0.478894276685185 -0.577811513203704 -0.536569684657407 -0.489970334948148 -0.559920626083333 -0.715623888518519 -0.715761567888889 -0.53048352212963 -0.383704337037037 -0.584812324951852 -0.487849676722222 -0.340808349185185 -0.510083740888889 -0.316615125129259 0.00136681328518519 -0.00939556110555556 -0.586808567703704 -0.526716778507407 -0.69469088387037 -0.576126854525926 -0.518927938481481 -0.742959284074074 -0.189140597753704 -0.297051976462963 -0.230940603916667 -0.582511621066667 -0.625137317444444 -0.552030161644444 -0.643644487351852 -0.568445975311111 -0.587592684148148 -0.160103795644444 -0.263267728666667 -0.1661337969 -0.484004478444444 -0.559116192646296 0.0259778080925926 -0.539538897003704 -0.536754836925926 0.0652333757703704 -0.622570790174074 -0.597002027962963 -0.114047438444444 -0.722666602092593 -0.727617446016667 0.0743163893333333
"2411" 6 "LAYING" 2 0.283263654166667 -0.0134281474514167 -0.108082741166667 -0.85261111375 -0.776116874375 -0.793913059583333 0.679158235 0.0625477904166667 0.076362913875 -0.978783722291667 -0.955430642708333 -0.948272388125 0.0767161657479167 -0.0156081392235417 -0.0102176497691458 -0.883250480625 -0.871156129791667 -0.878383022291667 -0.0152581312541667 -0.0707232364333333 0.083782288625 -0.885824254791667 -0.880035104791667 -0.839408566041667 -0.113414033125 -0.0355866824375 -0.050834358625 -0.903970227291667 -0.905612406875 -0.915789959583333 -0.802771147708333 -0.823971082291667 -0.802771147708333 -0.823971082291667 -0.87489875875 -0.860428828541667 -0.823954203958333 -0.851863994583333 -0.911945907083333 -0.902205930625 -0.865272682291667 -0.8104216975 -0.823305316875 -0.848313097916667 -0.773291393416667 -0.7949363225 -0.1485330845625 -0.0507994430229167 0.0284410325333333 -0.886415022083333 -0.873328127916667 -0.870306706458333 -0.890654223958333 -0.878130075208333 -0.885260495833333 0.0774177637708333 -0.191762348766667 -0.0371686909583333 -0.863576952083333 -0.877042002083333 -0.853231254583333 -0.893684189375 -0.883291524791667 -0.849996187708333 -0.125441490825 -0.142846093910417 -0.0680472762027083 -0.83396088125 -0.846174109166667 -0.0324052408833333 -0.860664876458333 -0.860336456875 0.213404489985417 -0.873116733958333 -0.864058799791667 -0.116506254579167 -0.90429067625 -0.906215296666667 0.157329664358333
"60" 1 "WALKING" 4 0.279595577833333 -0.01371510469 -0.106850902516667 -0.9772663265 -0.9566256015 -0.965948813833333 0.4689015815 0.10374973583 0.306624698316667 -0.968071611166667 -0.969651010333333 -0.966931188666667 0.0787293517833333 0.00685287667 0.00109868900583333 -0.982515631 -0.973494952 -0.984528209333333 -0.02884028067 -0.0898199974233333 0.119145478933333 -0.981876365 -0.974309046333333 -0.947224977333333 -0.0993864745166667 -0.0383841698666667 -0.0613511970983333 -0.986417767166667 -0.9859702105 -0.975393892666667 -0.965379184666667 -0.957619294 -0.965379184666667 -0.957619294 -0.982414044666667 -0.979233394 -0.945283958166667 -0.950847273333333 -0.986521015 -0.982084049666667 -0.978139601333333 -0.960505582166667 -0.9733174365 -0.977323193333333 -0.956775279 -0.9640943545 -0.0578036840223333 0.131952835745 0.183167173395 -0.982468502666667 -0.972887227666667 -0.981741923666667 -0.9842084705 -0.9762995145 -0.985998339 0.271285041532767 0.0260167580303333 0.0995146713383333 -0.977649519333333 -0.976544426666667 -0.945463888 -0.9832824645 -0.973262499833333 -0.952825048666667 0.04929499589 -0.171497744713333 -0.0511775510998333 -0.9625809435 -0.960862126333333 0.078780662865 -0.979377540666667 -0.977898278333333 0.279725997366667 -0.961840921 -0.9523491935 -0.112964734683333 -0.982334134833333 -0.982713482166667 0.197117933896667
"545" 2 "WALKING_UPSTAIRS" 4 0.273166686346154 -0.0228128361959615 -0.102707356557692 -0.503261387923077 -0.441564694638462 -0.521046417026154 0.661412532115385 -0.0229084911248077 0.171018720919231 -0.967765586730769 -0.949797143076923 -0.930579385326923 0.07580339725 -0.00226721910769231 0.00364073755826923 -0.491913455051923 -0.511208602298077 -0.709727980961538 -0.0558546399442308 -0.0810007098557692 0.100426488794231 -0.639785917692308 -0.694403866346154 -0.622916568076923 -0.0945456464038462 -0.0383302372519231 -0.0869148007053846 -0.671143584038462 -0.775369127307692 -0.679169206538462 -0.434719117809615 -0.545306175711538 -0.434719117809615 -0.545306175711538 -0.524570510230769 -0.522738465403846 -0.557934372223077 -0.623902320384615 -0.724836696923077 -0.755248191923077 -0.533011353288461 -0.474298717403846 -0.600074968653846 -0.492797778326923 -0.461374111826923 -0.517594315482308 -0.26874785625 -0.0117914100980769 0.0290678312380385 -0.545641118707692 -0.555042192557692 -0.693982031153846 -0.483739858961538 -0.497352083884615 -0.724101808076923 -0.181719605615385 -0.304965632173269 -0.255290863890385 -0.570608816211538 -0.692950249807692 -0.593688304576923 -0.663436956538462 -0.699082891153846 -0.669263871923077 -0.180967498380769 -0.222358059346731 -0.0561423602692308 -0.511544426346154 -0.638310288634615 0.104326930142308 -0.525205962175 -0.523057519884615 0.136141707730769 -0.667482548865385 -0.662218769615385 -0.0368121257813462 -0.756372253461538 -0.771108346730769 0.135438111411538
"1015" 3 "WALKING_DOWNSTAIRS" 4 0.282555900888889 -0.0152857299155556 -0.105831726177778 -0.405759138266667 -0.31300906516 -0.499187822627778 0.687930539333333 -0.0768491531555556 -0.0310797098911111 -0.970247287333333 -0.950581689111111 -0.926234931333333 0.0478426597933333 -0.0094812409 -0.0288903143333333 -0.398120523693333 -0.348026271510667 -0.648411009711111 -0.00650366906711111 -0.0948442463911111 0.0936986513511111 -0.537034327911111 -0.498158241644444 -0.456461849211111 -0.121270753133333 -0.0965606346577778 -0.01681941124 -0.593856902666667 -0.684535730222222 -0.562256558311111 -0.359834740117778 -0.397749982933333 -0.359834740117778 -0.397749982933333 -0.438358322857978 -0.368194039155556 -0.381443306753333 -0.491898946644444 -0.641574096222222 -0.672207639555556 -0.403013557844444 -0.299706696224444 -0.540225294755556 -0.407924549288889 -0.364963114388889 -0.520130695197778 -0.198476606177778 0.0504935684955556 0.132933465855333 -0.420236684686667 -0.375144741111111 -0.613002505822222 -0.42940539636 -0.363796569522222 -0.682501964444444 -0.0927232718622222 -0.204220126666667 -0.0274173183977778 -0.462747852733333 -0.546607168444444 -0.413984116177778 -0.563190580866667 -0.479714475688889 -0.521505829671111 -0.118508873291111 -0.0662083905133333 -0.0506390429333333 -0.361090906622222 -0.514687497511111 0.100482732557778 -0.367004456088889 -0.375891946711111 0.0868451964188889 -0.542429218688889 -0.548096012 -0.04789048238 -0.679457551111111 -0.686407417555556 0.0540340470422222
"1434" 4 "SITTING" 4 0.2785139066 -0.01721252955 -0.10621213386 -0.61025450946 -0.356236323496 -0.62343818066 0.6514132292 -0.0239565741 0.066425061418 -0.9781517744 -0.9709885096 -0.9638199916 0.0817281756913 -0.012380193388 -0.0156397849182 -0.61813706624 -0.493771540838 -0.7616870668 -0.04103850585976 -0.069170193834 0.0752156593798 -0.67385280392 -0.67064067432 -0.62067008264 -0.114134569634 -0.0369877172 -0.06482377464 -0.64929946114 -0.77839904826 -0.65868478454 -0.51330619478 -0.5923228948 -0.51330619478 -0.5923228948 -0.60287342144 -0.5855216912174 -0.57686190542 -0.6448095834 -0.7172807486 -0.745033462 -0.63124888242 -0.419113999072 -0.6700456088 -0.6030837856 -0.36650877301 -0.631207488394 -0.219345398874 0.04009292136 0.04922411668 -0.64549189916 -0.53842852264 -0.7426607034 -0.624314065942 -0.47951857836 -0.7795617324 -0.04058641378 -0.22425652274 -0.119112538372 -0.599312692476 -0.69267098 -0.5881654556 -0.6989501238 -0.6641081158 -0.6692510624 -0.08648384033 -0.15250802098 0.053351260602 -0.58105358654 -0.66256310018 0.138431966478 -0.587784309844 -0.587061600358 0.20038290922 -0.6746126504 -0.6872517286 0.0747253761348 -0.75201968996 -0.754375415 0.103618235324
